SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Aldermaston,,AD11,UMK-Unpasteurised Milk,23/03/2022,22-423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.2,NA,NA,NA,NA,<0.06,NA,<0.08,<0.12,<0.15,<0.09,<0.48,<0.07,NA,<0.21,NA,<0.05,<0.05,<0.32,<0.18,<0.15,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,23/03/2022,22-424,NA,NA,<2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000026,NA,0.000056±0.000045,NA,<0.000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,15/06/2022,22-852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63±5.0,NA,NA,NA,NA,<0.06,NA,<0.05,<0.09,<0.11,<0.09,<0.41,<0.06,NA,<0.27,NA,<0.04,<0.04,<0.23,<0.15,<0.10,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,15/06/2022,22-853,NA,NA,<3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000025,NA,0.000025±0.000020,NA,<0.000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,21/09/2022,22-1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55±4.8,NA,NA,NA,NA,<0.02,NA,<0.04,<0.05,<0.06,<0.06,<0.23,<0.03,NA,<0.06,NA,<0.04,<0.02,<0.21,<0.07,<0.12,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,21/09/2022,22-1436,NA,NA,<3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000025,NA,0.000016±0.000016,NA,<0.000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,19/12/2023,22-1955,NA,NA,<2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000022,NA,<0.000029,NA,<0.000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,19/12/2023,22-1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55±4.8,NA,NA,NA,NA,<0.02,NA,<0.04,<0.08,<0.08,<0.08,<0.24,<0.03,NA,<0.06,NA,<0.02,<0.02,<0.41,<0.07,<0.12,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,23/03/2022,22-426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.9,NA,NA,NA,NA,<0.06,NA,<0.08,<0.13,<0.14,<0.10,<0.47,<0.08,NA,<0.12,NA,<0.08,<0.05,<0.33,<0.18,<0.15,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,23/03/2022,22-427,NA,NA,<2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000027,NA,0.000052±0.000035,NA,<0.000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
