SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Derby,,CROP,BAR - Barley,18/10/2023,23-2117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110±8.3,NA,NA,NA,NA,<0.10,NA,<0.18,<0.34,<0.33,<0.31,<1.0,<0.15,NA,<0.26,NA,<0.10,<0.10,<0.74,<0.30,<0.33,NA
Derby,,CROP,POT - Potato,09/08/2023,23-1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170±11,NA,NA,NA,NA,<0.06,NA,<0.06,<0.06,<0.09,<0.05,<0.42,<0.06,NA,<0.10,NA,<0.04,<0.05,<0.26,<0.20,<0.12,NA
Devonport,,CROP,GRS - Grass,22/08/2023,23-1644,NA,NA,<25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190±16,NA,NA,NA,NA,<0.04,NA,<0.06,<0.25,<0.27,<0.11,<0.33,<0.05,NA,<0.08,NA,<0.03,<0.06,<0.54,<0.12,<0.16,NA
Devonport,,CROP,POT - Potato,22/08/2023,23-1643,NA,NA,31±24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170±14,NA,NA,NA,NA,<0.03,NA,<0.05,<0.05,<0.07,<0.05,<0.29,<0.04,NA,<0.07,NA,<0.04,<0.03,<0.25,<0.11,<0.15,NA
Devonport,Lynher Estuary,,USH - Shrimp (unidentified),31/10/2023,23-2206,NA,NA,NA,27±6.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devonport,Lynher Estuary,,USH - Shrimp (unidentified),31/10/2023,23-2207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39±2.9,<7.6,<0.08,<0.04,<0.12,<0.04,<0.18,<0.10,<0.46,<0.26,<0.37,<0.45,<0.06,<0.31,<0.10,ND,<0.08,<0.04,<0.32,<0.12,<0.12,<0.17
Devonport,Plymouth Sound,,CRE - Edible crab,22/03/2023,23-520,NA,NA,NA,33±6.2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72±5.2,<3.1,<0.11,<0.04,<0.11,<0.06,<0.17,<0.10,<0.26,<0.14,<0.38,<0.58,<0.10,<0.28,<0.15,ND,<0.06,<0.09,<0.35,<0.19,<0.14,<0.07
Devonport,Plymouth Sound,,CUW - Cuckoo wrasse,22/02/2023,23-521,NA,<25,<25,26±4.1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120±8.2,<2.9,<0.04,<0.03,<0.08,<0.04,<0.10,<0.08,<0.42,<0.16,<0.16,<0.40,<0.06,<0.17,<0.10,ND,<0.04,0.08±0.03,<0.28,<0.14,<0.12,<0.16
Devonport,R. Lynher,,MUS - Blue (edible) mussel,07/03/2023,23-413,NA,<25,<25,22±3.8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3±2.9,<7.1,<0.15,<0.05,<0.19,<0.10,<0.27,<0.15,<1.0,<0.39,<0.47,<0.85,<0.14,<0.65,<0.20,ND,<0.12,<0.08,<0.43,<0.25,<0.16,<0.09
Drigg,,CROP,OAT - Oats,07/09/2023,23-1692,NA,NA,<25,220±24,NA,NA,0.29±0.059,<0.28,0.28±0.13,NA,NA,NA,NA,0.00068±0.00019,<0.54,0.011±0.00099,NA,0.0050±0.00054,NA,130±9.7,NA,NA,NA,NA,<0.15,NA,<0.26,<2.2,<0.88,<1.0,<1.1,<0.22,NA,<0.28,NA,<0.08,0.28±0.13,<0.49,<0.42,<0.16,NA
Drigg,,CROP,POT - Potato,07/09/2023,23-1693,NA,NA,<25,22±7.7,NA,NA,0.033±0.029,<0.098,0.80±0.090,NA,NA,NA,NA,0.00082±0.00014,<0.34,0.0093±0.00068,NA,0.0053±0.00041,NA,120±7.9,NA,NA,NA,NA,<0.06,NA,<0.14,<0.11,<0.23,<0.09,<0.45,<0.07,NA,<0.12,NA,<0.06,0.80±0.09,<0.39,<0.18,<0.26,NA
Drigg,,DR02,UMK-Unpasteurised Milk,18/01/2023,23-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.7,NA,NA,NA,NA,<0.02,NA,<0.03,<0.03,<0.05,<0.03,<0.22,<0.03,NA,<0.06,NA,<0.02,0.16±0.03,<0.19,<0.07,<0.11,NA
Drigg,,DR02,UMK-Unpasteurised Milk,15/02/2023,23-369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.7,NA,NA,NA,NA,<0.02,NA,<0.04,<0.06,<0.11,<0.04,<0.23,<0.03,NA,<0.06,NA,<0.04,0.13±0.04,<0.20,<0.07,<0.12,NA
