SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Aldermaston,,AD11,UMK-Unpasteurised Milk,31/03/2021,21-453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55±4.1,NA,NA,NA,NA,<0.04,NA,<0.04,<0.08,<0.09,<0.07,<0.29,<0.05,NA,<0.09,NA,<0.05,<0.03,<0.20,<0.11,<0.09,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,31/03/2021,21-454,NA,NA,<2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000021,NA,<0.000059,NA,<0.000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,23/06/2021,21-1010,NA,NA,<2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000049,NA,0.0000095±0.0000098,NA,0.000018±0.000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,23/06/2021,21-1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±4.1,NA,NA,NA,NA,<0.06,NA,<0.08,<0.18,<0.15,<0.13,<0.49,<0.08,NA,<0.12,NA,<0.05,<0.05,<0.34,<0.17,<0.15,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,29/09/2021,21-1556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.6,NA,NA,NA,NA,<0.04,NA,<0.07,<0.13,<0.13,<0.12,<0.37,<0.05,NA,<0.09,NA,<0.04,<0.03,<0.36,<0.12,<0.20,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,29/09/2021,21-1557,NA,NA,<2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000036,NA,<0.000069,NA,<0.000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,05/01/2022,21-2090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.1,NA,NA,NA,NA,<0.06,NA,<0.08,<0.14,<0.16,<0.10,<0.46,<0.08,NA,<0.12,NA,<0.04,<0.05,<0.51,<0.18,<0.15,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,05/01/2022,21-2091,NA,NA,<3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000030,NA,0.000024±0.000022,NA,<0.000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,31/03/2021,21-456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±4.0,NA,NA,NA,NA,<0.04,NA,<0.05,<0.08,<0.09,<0.16,<0.29,<0.05,NA,<0.09,NA,<0.02,<0.03,<0.19,<0.11,<0.09,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,31/03/2021,21-457,NA,NA,<2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000014±0.000012,NA,0.000047±0.000027,NA,0.000020±0.000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,30/06/2021,21-1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±3.9,NA,NA,NA,NA,<0.04,NA,<0.04,<0.08,<0.09,<0.07,<0.28,<0.05,NA,<0.08,NA,<0.06,<0.03,<0.37,<0.11,<0.09,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,30/06/2021,21-1052,NA,NA,<2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000035,NA,0.0000071±0.0000059,NA,<0.000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,22/09/2021,21-1521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49±3.9,NA,NA,NA,NA,<0.06,NA,<0.09,<0.25,<0.22,<0.18,<0.51,<0.08,NA,<0.12,NA,<0.05,<0.05,<0.35,<0.17,<0.15,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,22/09/2021,21-1522,NA,NA,<2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000028,NA,0.000015±0.000014,NA,<0.000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,11/01/2022,21-2095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.7,NA,NA,NA,NA,<0.02,NA,<0.04,<0.07,<0.07,<0.06,<0.23,<0.03,NA,<0.06,NA,<0.02,<0.02,<0.19,<0.07,<0.11,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,11/01/2022,21-2096,NA,NA,<2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000029,NA,<0.000044,NA,0.000016±0.000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,CROP,POT - Potato,21/07/2021,21-1182,NA,NA,<6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000029,NA,0.00017±0.000053,NA,0.00012±0.000037,NA,110±7.9,NA,NA,NA,NA,<0.06,NA,<0.07,<0.08,<0.11,<0.06,<0.47,<0.08,NA,<0.12,NA,<0.05,<0.05,<0.31,<0.20,<0.15,NA
Aldermaston,,CROP,WHT - Wheat,05/10/2021,21-1575,NA,NA,<3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000053,NA,0.0000030±0.0000020,NA,<0.000053,NA,130±8.9,NA,NA,NA,NA,<0.05,NA,<0.06,<0.12,<0.22,<0.09,<0.39,<0.06,NA,<0.11,NA,<0.04,<0.04,<0.23,<0.17,<0.11,NA
Amersham,,AM07,UMK-Unpasteurised Milk,11/03/2021,21-362,NA,NA,<3.1,NA,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44±3.6,NA,NA,NA,NA,<0.05,NA,<0.07,<0.09,<0.11,<0.07,<0.45,<0.07,NA,<0.12,NA,<0.05,<0.09,<0.31,<0.16,<0.15,NA
Amersham,,AM07,UMK-Unpasteurised Milk,09/06/2021,21-885,NA,NA,<2.4,NA,NA,0.60±0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.8,NA,NA,NA,NA,<0.04,NA,<0.04,<0.06,<0.07,<0.05,<0.28,<0.05,NA,<0.09,NA,<0.03,<0.03,<0.31,<0.11,<0.09,NA
Amersham,,AM07,UMK-Unpasteurised Milk,08/09/2021,21-1477,NA,NA,<2.1,NA,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45±3.6,NA,NA,NA,NA,<0.06,NA,<0.07,<0.12,<0.14,<0.09,<0.46,<0.07,NA,<0.12,NA,<0.05,<0.05,<0.32,<0.18,<0.26,NA
Amersham,,AM07,UMK-Unpasteurised Milk,09/12/2021,21-1925,NA,NA,<2.1,NA,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46±3.6,NA,NA,NA,NA,<0.06,NA,<0.07,<0.09,<0.11,<0.07,<0.44,<0.07,NA,<0.11,NA,<0.04,<0.05,<0.31,<0.17,<0.15,NA
Amersham,,CROP,BAR - Barley,08/09/2021,21-1379,NA,NA,<3.7,NA,NA,1.5±0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130±9.4,NA,NA,NA,NA,<0.08,NA,<0.08,<0.08,<0.13,<0.06,<0.59,<0.09,NA,<0.15,NA,<0.08,<0.07,<0.38,<0.28,<0.19,NA
Amersham,,CROP,POT - Potato,08/09/2021,21-1380,NA,NA,<2.3,NA,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120±10,NA,NA,NA,NA,<0.03,NA,<0.04,<0.08,<0.05,<0.04,<0.24,<0.04,NA,<0.06,NA,<0.05,<0.05,<0.20,<0.09,<0.12,NA
Anglia,,AR02,UMK-Unpasteurised Milk,13/01/2021,21-36,NA,NA,NA,NA,NA,NA,0.033±0.031,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,17/02/2021,21-213,NA,NA,NA,NA,NA,NA,0.018±0.016,NA,<0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63±5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,17/03/2021,21-390,NA,NA,NA,NA,NA,NA,0.016±0.018,NA,<0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,14/04/2021,21-620,NA,NA,NA,NA,NA,NA,0.019±0.013,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,12/05/2021,21-744,NA,NA,NA,NA,NA,NA,0.016±0.013,NA,<0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60±4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,26/05/2021,21-848,NA,NA,NA,NA,NA,NA,0.020±0.016,NA,<0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
