SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,I-125,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Sellafield,Whitehaven Harbour,,MUS - Blue (edible) mussel,05/03/2021,20-2415,NA,NA,NA,NA,NA,NA,0.32±0.031,13±1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sizewell,,CROP,BAR - Barley,14/08/2020,20-1362,NA,NA,<3.4,96±8.8,NA,0.80±0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150±11,NA,NA,NA,NA,<0.09,NA,<0.09,<0.09,<0.15,<0.08,<0.67,<0.11,NA,<0.18,NA,<0.10,<0.08,<0.42,<0.29,<0.21,NA
Sizewell,,CROP,POT - Potato,23/07/2020,20-1219,NA,NA,<2.6,23±3.9,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150±10,NA,NA,NA,NA,<0.07,NA,<0.07,<0.07,<0.12,<0.06,<0.54,<0.09,NA,<0.13,NA,<0.05,<0.06,<0.33,<0.25,<0.17,NA
Sizewell,,SI11,UMK-Unpasteurised Milk,12/03/2020,20-378,NA,NA,<2.2,21±4.7,NA,<0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39±3.3,NA,NA,NA,NA,<0.06,NA,<0.07,<0.17,<0.12,<0.07,<0.46,<0.07,NA,<0.12,NA,<0.05,<0.07,<0.32,<0.18,<0.15,NA
Sizewell,,SI11,UMK-Unpasteurised Milk,30/07/2020,20-1264,NA,NA,<2.8,22±2.1,NA,0.60±0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39±3.4,NA,NA,NA,NA,<0.02,NA,<0.05,<0.11,<0.09,<0.10,<0.24,<0.03,NA,<0.06,NA,<0.02,<0.02,<0.40,<0.07,<0.11,NA
Sizewell,,SI11,UMK-Unpasteurised Milk,02/09/2020,20-1443,NA,NA,<2.7,17±1.6,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33±2.7,NA,NA,NA,NA,<0.04,NA,<0.04,<0.06,<0.07,<0.05,<0.27,<0.05,NA,<0.08,NA,<0.03,<0.03,<0.18,<0.10,<0.09,NA
Sizewell,,SI11,UMK-Unpasteurised Milk,08/01/2021,20-2381,NA,NA,<3.6,32±3.0,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40±3.3,NA,NA,NA,NA,<0.06,NA,<0.08,<0.17,<0.16,<0.13,<0.48,<0.08,NA,<0.12,NA,<0.06,<0.05,<0.34,<0.18,<0.14,NA
Sizewell,,SI91,UMK-Unpasteurised Milk,11/06/2020,20-681,NA,NA,<2.2,23±2.1,NA,<0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48±3.8,NA,NA,NA,NA,<0.06,NA,<0.10,<0.34,<0.24,<0.23,<0.51,<0.09,NA,<0.13,NA,<0.05,<0.05,<0.36,<0.18,<0.15,NA
Sizewell,,SI91,UMK-Unpasteurised Milk,30/07/2020,20-1265,NA,NA,<5.0,22±1.1,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46±3.7,NA,NA,NA,NA,<0.06,NA,<0.09,<0.25,<0.20,<0.17,<0.50,<0.08,NA,<0.12,NA,<0.03,<0.08,<0.35,<0.18,<0.15,NA
Sizewell,,SI91,UMK-Unpasteurised Milk,09/10/2020,20-1738,NA,NA,<2.4,19±1.8,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47±3.7,NA,NA,NA,NA,<0.06,NA,<0.08,<0.14,<0.15,<0.10,<0.46,<0.08,NA,<0.12,NA,<0.04,<0.05,<0.32,<0.18,<0.15,NA
