SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,I-125,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Aldermaston,,AD11,UMK-Unpasteurised Milk,18/03/2020,20-425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56±4.2,NA,NA,NA,NA,<0.04,NA,<0.06,<0.35,<0.15,<0.36,<0.32,<0.06,NA,<0.09,NA,<0.02,<0.03,<0.22,<0.12,<0.09,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,18/03/2020,20-426,NA,NA,<2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000032±0.000016,NA,0.000011±0.000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,08/07/2020,20-1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57±4.3,NA,NA,NA,NA,<0.04,NA,<0.05,<0.15,<0.20,<0.10,<0.29,<0.05,NA,<0.09,NA,<0.03,<0.03,<0.33,<0.12,<0.09,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,08/07/2020,20-1080,NA,NA,<2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000026,NA,<0.000036,NA,<0.000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,30/09/2020,20-1690,NA,NA,<8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000033,NA,0.000020±0.000012,NA,<0.000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,30/09/2020,20-1691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.9,NA,NA,NA,NA,<0.06,NA,<0.08,<0.15,<0.16,<0.11,<0.48,<0.08,NA,<0.12,NA,<0.05,<0.05,<0.33,<0.18,<0.15,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,23/12/2020,20-2369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49±3.9,NA,NA,NA,NA,<0.10,NA,<0.08,<0.16,<0.16,<0.11,<0.48,<0.07,NA,<0.11,NA,<0.05,<0.05,<0.34,<0.19,<0.15,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,23/12/2020,20-2370,NA,NA,<2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000040,NA,0.0000032±0.0000020,NA,<0.000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,11/06/2020,20-685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56±4.2,NA,NA,NA,NA,<0.04,NA,<0.06,<0.21,<0.15,<0.17,<0.32,<0.06,NA,<0.09,NA,<0.04,<0.02,<0.21,<0.12,<0.09,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,11/06/2020,20-686,NA,NA,<2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000024,NA,0.000030±0.000018,NA,<0.000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,08/07/2020,20-1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.1,NA,NA,NA,NA,<0.04,NA,<0.05,<0.15,<0.12,<0.13,<0.29,<0.05,NA,<0.09,NA,<0.05,<0.05,<0.20,<0.11,<0.09,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,08/07/2020,20-1082,NA,NA,<2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000012±0.000012,NA,0.000014±0.000012,NA,0.0000062±0.0000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,02/09/2020,20-1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55±4.1,NA,NA,NA,NA,<0.04,NA,<0.04,<0.07,<0.08,<0.06,<0.28,<0.05,NA,<0.09,NA,<0.05,<0.03,<0.42,<0.12,<0.09,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,02/09/2020,20-1441,NA,NA,<2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000030,NA,<0.000049,NA,<0.000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,03/12/2020,20-2166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.9,NA,NA,NA,NA,<0.06,NA,<0.08,<0.24,<0.15,<0.10,<0.48,<0.08,NA,<0.12,NA,<0.06,<0.05,<0.32,<0.19,<0.15,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,03/12/2020,20-2167,NA,NA,<2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000027,NA,0.000014±0.000012,NA,0.0000086±0.0000098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,CROP,BAR - Barley,02/09/2020,20-1426,NA,NA,<3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.00015,NA,0.000085±0.000037,NA,0.000089±0.000041,NA,160±11,NA,NA,NA,NA,<0.06,NA,<0.05,<0.13,<0.09,<0.05,<0.36,<0.07,NA,<0.11,NA,<0.05,<0.04,<0.23,<0.18,<0.12,NA
Aldermaston,,CROP,POT - Potato,21/07/2020,20-1182,NA,NA,<4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000035±0.0000039,NA,0.00018±0.000059,NA,0.00016±0.000063,NA,98±7.2,NA,NA,NA,NA,<0.05,NA,<0.04,<0.04,<0.07,<0.04,<0.31,<0.05,NA,<0.10,NA,<0.05,<0.04,<0.36,<0.14,<0.10,NA
Amersham,,AM07,UMK-Unpasteurised Milk,12/03/2020,20-358,NA,NA,<2.2,NA,NA,<0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49±3.7,NA,NA,NA,NA,<0.04,NA,<0.04,<0.05,<0.07,<0.05,<0.27,<0.05,NA,<0.08,NA,<0.05,<0.06,<0.36,<0.11,<0.09,NA
Amersham,,AM07,UMK-Unpasteurised Milk,08/07/2020,20-1083,NA,NA,<2.1,NA,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±4.4,NA,NA,NA,NA,<0.02,NA,<0.05,<0.25,<0.09,<0.10,<0.23,<0.03,NA,<0.06,NA,<0.03,<0.02,<0.21,<0.07,<0.11,NA
Amersham,,AM07,UMK-Unpasteurised Milk,09/09/2020,20-1453,NA,NA,<4.2,NA,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47±3.8,NA,NA,NA,NA,<0.06,NA,<0.07,<0.10,<0.12,<0.08,<0.47,<0.08,NA,<0.12,NA,<0.05,<0.08,<0.32,<0.19,<0.15,NA
Amersham,,AM07,UMK-Unpasteurised Milk,09/12/2020,20-2218,NA,NA,<3.0,NA,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±4.5,NA,NA,NA,NA,<0.02,NA,<0.04,<0.07,<0.05,<0.05,<0.22,<0.03,NA,<0.06,NA,<0.01,<0.02,<0.26,<0.07,<0.11,NA
Amersham,,CROP,POT - Potato,25/08/2020,20-1403,NA,NA,<4.6,NA,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160±11,NA,NA,NA,NA,<0.07,NA,<0.06,<0.06,<0.11,<0.05,<0.49,<0.08,NA,<0.09,NA,<0.03,<0.04,<0.31,<0.23,<0.16,NA
Amersham,,CROP,WHT - Wheat,25/08/2020,20-1404,NA,NA,<4.0,NA,NA,<0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130±9.1,NA,NA,NA,NA,<0.05,NA,<0.04,<0.04,<0.06,<0.04,<0.29,<0.05,NA,<0.09,NA,<0.05,<0.03,<0.30,<0.14,<0.10,NA
Anglia,,AR02,UMK-Unpasteurised Milk,15/01/2020,20-67,NA,NA,NA,NA,NA,NA,<0.051,NA,NA,<0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62±5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,12/02/2020,20-219,NA,NA,NA,NA,NA,NA,0.028±0.015,NA,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,18/03/2020,20-431,NA,NA,NA,NA,NA,NA,<0.022,NA,NA,<0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,28/04/2020,20-495,NA,NA,NA,NA,NA,NA,0.043±0.034,NA,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55±4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,21/05/2020,20-578,NA,NA,NA,NA,NA,NA,0.015±0.017,NA,NA,<0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,10/06/2020,20-662,NA,NA,NA,NA,NA,NA,0.017±0.013,NA,NA,<0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61±4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,10/06/2020,20-663,NA,NA,NA,9.2±0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,15/07/2020,20-1163,NA,NA,NA,NA,NA,NA,0.027±0.030,NA,NA,<0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,12/08/2020,20-1351,NA,NA,NA,NA,NA,NA,0.017±0.012,NA,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,16/09/2020,20-1536,NA,NA,NA,NA,NA,NA,0.030±0.031,NA,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,21/10/2020,20-1904,NA,NA,NA,NA,NA,NA,<0.025,NA,NA,<0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61±4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,11/11/2020,20-2029,NA,NA,NA,NA,NA,NA,0.017±0.013,NA,NA,<0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62±4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR02,UMK-Unpasteurised Milk,16/12/2020,20-2305,NA,NA,NA,NA,NA,NA,<0.021,NA,NA,<0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,29/01/2020,20-158,NA,NA,NA,NA,NA,NA,0.033±0.019,NA,NA,<0.040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,26/02/2020,20-300,NA,NA,NA,NA,NA,NA,0.021±0.014,NA,NA,<0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,01/04/2020,20-437,NA,NA,NA,NA,NA,NA,0.049±0.032,NA,NA,<0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,28/04/2020,20-496,NA,NA,NA,NA,NA,NA,0.017±0.014,NA,NA,<0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,02/06/2020,20-603,NA,NA,NA,NA,NA,NA,0.016±0.018,NA,NA,<0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,24/06/2020,20-1009,NA,NA,NA,NA,NA,NA,0.042±0.020,NA,NA,<0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,24/06/2020,20-1010,NA,NA,NA,12±1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,29/07/2020,20-1254,NA,NA,NA,NA,NA,NA,0.023±0.015,NA,NA,<0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,27/08/2020,20-1421,NA,NA,NA,NA,NA,NA,0.027±0.031,NA,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,23/09/2020,20-1584,NA,NA,NA,NA,NA,NA,0.034±0.029,NA,NA,<0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,28/10/2020,20-1949,NA,NA,NA,NA,NA,NA,0.032±0.014,NA,NA,<0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglia,,AR06,UMK-Unpasteurised Milk,25/11/2020,20-2152,NA,NA,NA,NA,NA,NA,0.019±0.013,NA,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascot,,CROP,GRS - Grass,14/07/2020,20-1133,NA,NA,<4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70±5.3,NA,NA,NA,NA,<0.09,NA,<0.05,<0.05,<0.07,<0.09,<0.34,<0.06,NA,<0.11,NA,<0.03,<0.04,<0.22,<0.14,<0.11,NA
Ascot,,CROP,POT - Potato,14/07/2020,20-1132,NA,NA,<2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160±11,NA,NA,NA,NA,<0.07,NA,<0.07,<0.07,<0.11,<0.06,<0.52,<0.08,NA,<0.13,NA,<0.06,<0.06,<0.33,<0.25,<0.16,NA
Berkeley & Oldbury,,CROP,OAT - Oats,06/10/2020,20-1699,NA,NA,<3.9,100±9.3,NA,<0.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140±12,NA,NA,NA,NA,<0.16,NA,<0.31,<1.5,<1.1,<1.4,<1.6,<0.25,NA,<0.49,NA,<0.11,<0.16,<2.5,<0.50,<0.51,NA
Berkeley & Oldbury,,CROP,POT - Potato,06/10/2020,20-1700,NA,NA,<2.1,25±2.4,NA,<0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140±12,NA,NA,NA,NA,<0.03,NA,<0.04,<0.06,<0.06,<0.04,<0.25,<0.04,NA,<0.07,NA,<0.03,<0.03,<0.21,<0.10,<0.13,NA
Berkeley & Oldbury,,OB13,UMK-Unpasteurised Milk,05/03/2020,20-340,NA,NA,<2.4,13±1.2,NA,<0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46±3.7,NA,NA,NA,NA,<0.06,NA,<0.06,<0.07,<0.11,<0.06,<0.46,<0.07,NA,<0.11,NA,<0.06,<0.05,<0.30,<0.17,<0.21,NA
Berkeley & Oldbury,,OB13,UMK-Unpasteurised Milk,08/07/2020,20-1094,NA,NA,<2.2,21±1.6,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.1,NA,NA,NA,NA,<0.04,NA,<0.05,<0.15,<0.12,<0.12,<0.30,<0.05,NA,<0.09,NA,<0.03,<0.03,<0.20,<0.12,<0.09,NA
Berkeley & Oldbury,,OB13,UMK-Unpasteurised Milk,16/09/2020,20-1528,NA,NA,<5.5,16±1.5,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.1,NA,NA,NA,NA,<0.04,NA,<0.04,<0.06,<0.11,<0.06,<0.27,<0.05,NA,<0.09,NA,<0.03,<0.03,<0.18,<0.12,<0.09,NA
Berkeley & Oldbury,,OB13,UMK-Unpasteurised Milk,03/12/2020,20-2173,NA,NA,7.3±7.2,11±1.1,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.0,NA,NA,NA,NA,<0.04,NA,<0.04,<0.06,<0.07,<0.05,<0.27,<0.05,NA,<0.09,NA,<0.02,<0.03,<0.18,<0.11,<0.09,NA
Berkeley & Oldbury,,OB18,UMK-Unpasteurised Milk,05/03/2020,20-342,NA,NA,3.8±3.9,9.4±9.5,NA,<0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.6,NA,NA,NA,NA,<0.04,NA,<0.05,<0.05,<0.07,<0.04,<0.32,<0.04,NA,<0.08,NA,<0.05,<0.03,<0.21,<0.12,<0.11,NA
Berkeley & Oldbury,,OB18,UMK-Unpasteurised Milk,08/07/2020,20-1095,NA,NA,<2.2,17±1.6,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47±3.7,NA,NA,NA,NA,<0.06,NA,<0.09,<0.24,<0.21,<0.13,<0.50,<0.08,NA,<0.12,NA,<0.08,<0.05,<0.35,<0.17,<0.15,NA
Berkeley & Oldbury,,OB18,UMK-Unpasteurised Milk,16/09/2020,20-1530,NA,NA,<7.5,8.8±0.88,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55±4.1,NA,NA,NA,NA,<0.04,NA,<0.04,<0.08,<0.09,<0.07,<0.28,<0.05,NA,<0.08,NA,<0.03,<0.03,<0.19,<0.11,<0.09,NA
Berkeley & Oldbury,,OB18,UMK-Unpasteurised Milk,03/12/2020,20-2175,NA,NA,<2.2,15±1.4,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48±3.8,NA,NA,NA,NA,<0.06,NA,<0.07,<0.10,<0.12,<0.07,<0.47,<0.07,NA,<0.12,NA,<0.05,<0.05,<0.31,<0.18,<0.15,NA
Berkeley & Oldbury,,OB20,UMK-Unpasteurised Milk,05/03/2020,20-344,NA,NA,<2.2,7.4±0.72,NA,<0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.7,NA,NA,NA,NA,<0.04,NA,<0.06,<0.11,<0.12,<0.05,<0.31,<0.05,NA,<0.09,NA,<0.03,<0.04,<0.32,<0.12,<0.19,NA
Berkeley & Oldbury,,OB20,UMK-Unpasteurised Milk,08/07/2020,20-1096,NA,NA,<2.9,23±2.1,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±3.7,NA,NA,NA,NA,<0.04,NA,<0.08,<0.18,<0.16,<0.16,<0.36,<0.06,NA,<0.09,NA,<0.04,<0.04,<0.36,<0.13,<0.19,NA
Berkeley & Oldbury,,OB20,UMK-Unpasteurised Milk,16/09/2020,20-1532,NA,NA,<2.7,22±2.0,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49±3.9,NA,NA,NA,NA,<0.06,NA,<0.07,<0.12,<0.22,<0.09,<0.50,<0.07,NA,<0.12,NA,<0.07,<0.05,<0.32,<0.18,<0.15,NA
Berkeley & Oldbury,,OB20,UMK-Unpasteurised Milk,03/12/2020,20-2177,NA,NA,<2.6,13±1.3,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46±3.7,NA,NA,NA,NA,<0.06,NA,<0.07,<0.10,<0.12,<0.07,<0.46,<0.07,NA,<0.11,NA,<0.08,<0.05,<0.32,<0.18,<0.15,NA
Berkeley & Oldbury,,OB21,UMK-Unpasteurised Milk,05/03/2020,20-346,NA,NA,<2.2,11±0.98,NA,<0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45±3.2,NA,NA,NA,NA,<0.04,NA,<0.05,<0.05,<0.07,<0.04,<0.31,<0.04,NA,<0.08,NA,<0.03,<0.03,<0.22,<0.11,<0.11,NA
Berkeley & Oldbury,,OB21,UMK-Unpasteurised Milk,08/07/2020,20-1097,NA,NA,<2.2,14±1.3,NA,0.40±0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59±4.7,NA,NA,NA,NA,<0.06,NA,<0.07,<0.25,<0.19,<0.44,<0.63,<0.08,NA,<0.25,NA,<0.07,<0.04,<0.26,<0.15,<0.11,NA
Berkeley & Oldbury,,OB21,UMK-Unpasteurised Milk,16/09/2020,20-1534,NA,NA,<2.5,15±1.4,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.9,NA,NA,NA,NA,<0.04,NA,<0.04,<0.04,<0.19,<0.07,<0.27,<0.05,NA,<0.08,NA,<0.04,<0.03,<0.22,<0.12,<0.09,NA
Berkeley & Oldbury,,OB21,UMK-Unpasteurised Milk,03/12/2020,20-2179,NA,NA,<2.3,16±1.5,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48±3.8,NA,NA,NA,NA,<0.06,NA,<0.07,<0.09,<0.13,<0.08,<0.47,<0.07,NA,<0.12,NA,<0.05,<0.05,<0.32,<0.18,<0.15,NA
Berkeley & Oldbury,Beachley,,COE - European conger eel,19/10/2020,20-1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77±6.3,<3.7,<0.09,<0.06,<0.15,<0.08,<0.23,<0.14,<0.32,<0.28,<0.29,<0.78,<0.14,<0.40,<0.23,ND,<0.09,0.33±0.11,<1.2,<0.26,<0.21,<0.23
Berkeley & Oldbury,Guscar,,USH - Shrimp (unidentified),19/10/2020,20-1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72±5.1,<4.6,<0.07,<0.04,<0.13,<0.06,<0.29,<0.11,<0.79,<0.27,<0.30,<0.58,<0.09,<0.36,<0.14,ND,<0.05,<0.06,<0.35,<0.20,<0.14,<0.08
Berkeley & Oldbury,Guscar,,USH - Shrimp (unidentified),19/10/2020,20-1873,NA,NA,<25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berkeley & Oldbury,Guscar,,USH - Shrimp (unidentified),19/10/2020,20-1874,NA,NA,NA,19±3.8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
